sim,true_beta,n,model,p,n_f,true_beta_f
93,0,25,model2,0.9318206783127547,25,beta = 0
93,0,25,model3,0.004487604944441406,25,beta = 0
93,0,25,model4,0.37806174775971413,25,beta = 0
94,0,25,model1,0.43387419002640637,25,beta = 0
94,0,25,model2,0.5594789204069763,25,beta = 0
94,0,25,model3,0.37394913817516673,25,beta = 0
94,0,25,model4,0.4339937450876067,25,beta = 0
95,0,25,model1,0.6417991152545576,25,beta = 0
95,0,25,model2,0.9531450890058732,25,beta = 0
95,0,25,model3,0.13946258349897164,25,beta = 0
95,0,25,model4,0.9113395414157639,25,beta = 0
96,0,25,model1,0.7248685473761377,25,beta = 0
96,0,25,model2,0.6356552188643236,25,beta = 0
96,0,25,model3,0.9031344279067334,25,beta = 0
96,0,25,model4,0.17590185233036298,25,beta = 0
97,0,25,model1,0.11965531199971499,25,beta = 0
97,0,25,model2,0.9676651739045902,25,beta = 0
97,0,25,model3,0.6014826751540132,25,beta = 0
97,0,25,model4,0.7242136791316363,25,beta = 0
98,0,25,model1,0.7339153208935286,25,beta = 0
98,0,25,model2,0.7739058726492366,25,beta = 0
98,0,25,model3,0.8715035168586713,25,beta = 0
98,0,25,model4,0.7360569050858468,25,beta = 0
99,0,25,model1,0.5957114833514411,25,beta = 0
99,0,25,model2,0.5004150101456123,25,beta = 0
99,0,25,model3,0.39859544353341747,25,beta = 0
99,0,25,model4,0.01784534398311845,25,beta = 0
100,0,25,model1,0.42693387461019106,25,beta = 0
100,0,25,model2,0.4790778498524324,25,beta = 0
100,0,25,model3,0.24524057225292611,25,beta = 0
100,0,25,model4,0.826543685446457,25,beta = 0
101,0,25,model1,0.5940283668107653,25,beta = 0
101,0,25,model2,0.9429823478543538,25,beta = 0
101,0,25,model3,0.13301215095667024,25,beta = 0
101,0,25,model4,0.007352545022799779,25,beta = 0
102,0,25,model1,0.8460514041720901,25,beta = 0
102,0,25,model2,0.14323862576426596,25,beta = 0
102,0,25,model3,0.11405874348995716,25,beta = 0
102,0,25,model4,0.11288713631129443,25,beta = 0
103,0,25,model1,0.08064925476941812,25,beta = 0
103,0,25,model2,0.27996761914031193,25,beta = 0
103,0,25,model3,0.9717602368271261,25,beta = 0
103,0,25,model4,0.386690349059585,25,beta = 0
104,0,25,model1,0.31591921721885813,25,beta = 0
104,0,25,model2,0.25448674471603433,25,beta = 0
104,0,25,model3,0.6701576226913936,25,beta = 0
104,0,25,model4,0.4407235526036203,25,beta = 0
105,0,25,model1,0.9023450696614634,25,beta = 0
105,0,25,model2,0.45476405696305144,25,beta = 0
105,0,25,model3,0.42888800048790976,25,beta = 0
105,0,25,model4,0.4947434473389716,25,beta = 0
106,0,25,model1,0.5778349982790938,25,beta = 0
106,0,25,model2,0.8823340928329007,25,beta = 0
106,0,25,model3,0.3578156606846091,25,beta = 0
106,0,25,model4,0.1364225056026772,25,beta = 0
107,0,25,model1,0.86445258130608,25,beta = 0
107,0,25,model2,0.10710422794463755,25,beta = 0
107,0,25,model3,0.45494885498670523,25,beta = 0
107,0,25,model4,0.3171514526241256,25,beta = 0
108,0,25,model1,0.16867516609492,25,beta = 0
108,0,25,model2,0.7109097117698374,25,beta = 0
108,0,25,model3,0.3900924288041715,25,beta = 0
108,0,25,model4,0.35141750289433615,25,beta = 0
109,0,25,model1,0.7668267377467687,25,beta = 0
109,0,25,model2,0.08764295598934205,25,beta = 0
